Datetime,PM2.5,NO2,SO2,O3,CO,PM10
12/2/2017 0:00,92,19.83,11.65,103.38,0.1,135.5
12/2/2017 1:00,95.75,17.15,12.1,105.85,0.1,136.25
12/2/2017 2:00,91.5,18.75,11.58,99.48,0.1,133.25
12/2/2017 3:00,105.5,15.03,12.07,81.85,0.1,142
12/2/2017 4:00,106,14.1,15.15,86.23,0.1,139.25
12/2/2017 5:00,85.5,13.62,17.08,113.17,0.1,121.25
12/2/2017 6:00,80,14.27,18.12,109.28,0.1,114
12/2/2017 7:00,82.5,35.22,15.58,86.73,0.1,121.75
12/2/2017 8:00,82.25,24.32,15.48,103.9,0.1,133.5
12/2/2017 9:00,75.75,14.97,18.2,141.6,0.1,129.5
12/2/2017 10:00,70.5,15.92,18.45,150.92,0.1,115
12/2/2017 11:00,66,18.1,17.15,155.8,0.1,121
12/2/2017 12:00,62.25,17.78,125.3,147.97,0.1,118.5
12/2/2017 13:00,57.5,117.72,14.95,145.03,0.1,104.25
12/2/2017 14:00,49.75,15.48,11.12,149.92,0.03,91.5
12/2/2017 15:00,51,15.65,9.03,157.27,0.1,90.75
12/2/2017 16:00,58,14.7,11.88,159.78,0.1,102.75
12/2/2017 17:00,67.25,16.5,15.75,179.35,0.1,115.5
12/2/2017 18:00,105.5,30.95,18.38,178.88,0.1,170.5
12/2/2017 19:00,129.5,44.75,19.88,153.38,0.1,202.5
12/2/2017 20:00,144.75,39.77,19.5,134.25,0.08,230
12/2/2017 21:00,144.75,33.88,11.15,119.55,0.08,223.25
12/2/2017 22:00,128.5,34.58,12.95,110.75,0.3,186.75
12/2/2017 23:00,125.5,25.5,12.4,115.12,0.1,186.25
12/3/2017 0:00,121,21.25,12.62,118.57,0.1,169
12/3/2017 1:00,117.75,17.47,11,123.48,0.1,158
12/3/2017 2:00,108,23.78,11.17,120.55,0.1,152
12/3/2017 3:00,107.5,32.58,9.02,61.75,0.1,154.5
12/3/2017 4:00,116.75,35.02,8.67,64.67,0.1,171.5
12/3/2017 5:00,120.5,23.65,7.45,99.95,0.15,162
12/3/2017 6:00,124.75,27.15,8.62,108.8,0.35,167.25
12/3/2017 7:00,144.25,42.03,13.93,94.55,0.4,197.5
12/3/2017 8:00,118.75,50.3,18.3,95.55,0.3,182
12/3/2017 9:00,104.75,23.48,25.82,132.3,0.28,169.5
12/3/2017 10:00,106.5,19.8,27.82,136.7,0.1,167.25
12/3/2017 11:00,88.5,14.35,17.65,138.68,0.1,130.25
12/3/2017 12:00,63.5,15,11.43,135.72,0.1,102
12/3/2017 13:00,53,10.73,11,134.75,0.1,84.25
12/3/2017 14:00,44.25,12.45,8.28,136.7,0.1,74
12/3/2017 15:00,44.75,12.4,8.28,141.13,0.1,71.5
12/3/2017 16:00,45,12.53,9.1,140.63,0.1,82
12/3/2017 17:00,48,12.38,7.7,129.38,0.1,83
12/3/2017 18:00,51.25,15.18,6.8,111.73,0.1,91.5
12/3/2017 19:00,64.25,20.23,8.05,104.38,0.1,112.5
12/3/2017 20:00,75.25,21.15,8.9,109.75,0.08,125.25
12/3/2017 21:00,77,16.3,6.85,108.28,0.2,117.5
12/3/2017 22:00,71,12.2,7.25,116.62,0.13,101.25
12/3/2017 23:00,75,20.12,8.12,90.67,0.1,107
12/4/2017 0:00,89,24.53,8.5,80.35,0.27,125.5
12/4/2017 1:00,90.5,22.1,4.8,87.7,0.08,125.75
12/4/2017 2:00,88,28.65,1.18,91.62,0.03,113
12/4/2017 3:00,84.5,40.9,9.02,69.07,0.08,104.5
12/4/2017 4:00,84,43.07,0.05,69.1,0.18,107.75
12/4/2017 5:00,89,55.02,0.08,75.95,0.55,119.5
12/4/2017 6:00,98,40.13,1.72,123.48,0.85,139.75
12/4/2017 7:00,109.25,23.32,14.37,89.67,0.38,150
12/4/2017 8:00,115.5,24.48,23.55,94.1,0.1,173.75
12/4/2017 9:00,109,21.55,24.4,113.65,0.1,167.5
12/4/2017 10:00,89.75,16.95,19.6,126.92,0.1,141.5
12/4/2017 11:00,77,16.8,17,138.2,0.1,113
12/4/2017 12:00,55.75,13.27,11.43,140.6,0.1,97.5
12/4/2017 13:00,59,83.48,10.7,137.22,0.1,96.25
12/4/2017 14:00,51,13.4,8.83,137.7,0.1,84
12/4/2017 15:00,48.75,15.22,6.83,140.17,0.08,80.75
12/4/2017 16:00,50,14.08,6.07,141.6,0.2,82.75
12/4/2017 17:00,58,20.02,6.9,141.1,0.2,88.75
12/4/2017 18:00,75.25,30.53,11.18,121.05,0.18,125
12/4/2017 19:00,113,37,14.43,107.3,0.08,182.5
12/4/2017 20:00,123,32.88,11.1,99,0.1,201.75
12/4/2017 21:00,117,10.75,8.1,122,0.1,174
12/4/2017 22:00,71,10,8.85,127.4,0.1,99.5
12/4/2017 23:00,86,9.4,8.23,122.98,0.1,105.75
12/5/2017 0:00,77,15.85,9.28,101.45,0.1,102
12/5/2017 1:00,89.75,21.3,9,84.77,0.1,123.75
12/5/2017 2:00,93.75,20.57,10.15,86.23,0.1,138.25
12/5/2017 3:00,108.75,20.43,9.73,77.42,0.1,156
12/5/2017 4:00,111,25.03,8.4,74,0.2,153
12/5/2017 5:00,108.75,19.95,8.35,89.65,0.4,151
12/5/2017 6:00,113.25,30.23,8.8,74.48,0.1,148.75
12/5/2017 7:00,122.25,16.95,13.9,111.25,0.1,147.25
12/5/2017 8:00,102,18.95,18.7,115.17,0.1,135.25
12/5/2017 9:00,99,19.93,19.5,122,0.1,131.5
12/5/2017 10:00,86.75,18.73,17.03,131.8,0.08,126
12/5/2017 11:00,101.25,16.25,11.4,144.03,0.1,120.5
12/5/2017 12:00,146.75,14.68,117.62,146,0.1,112.25
12/5/2017 13:00,65.25,85.57,8.23,150.45,0.08,108.75
12/5/2017 14:00,67,16.65,8.15,153.85,0.1,108.25
12/5/2017 15:00,69.5,18.6,5.25,147.5,0.15,115.75
12/5/2017 16:00,68.25,16.28,5,142.6,0.1,109
12/5/2017 17:00,68,13.5,4.12,133.75,0.13,106.25
12/5/2017 18:00,64.5,15.4,5.93,119.57,0.08,104
12/5/2017 19:00,63.25,11.58,7.03,123,0.1,106
12/5/2017 20:00,62.75,9.12,7.08,129.85,0.1,94.75
12/5/2017 21:00,70.25,10.25,7.48,130.83,0.1,99.75
12/5/2017 22:00,78.25,12.75,7.92,122.98,0.1,109.25
12/5/2017 23:00,83.5,16.88,8.38,117.6,0.1,115.25
12/6/2017 0:00,88,19.78,7.95,94.57,0.1,122
12/6/2017 1:00,94.75,27.85,8.4,87.2,0.1,133
12/6/2017 2:00,104,27.02,6.85,87.23,0.05,142
12/6/2017 3:00,104,26.07,6.73,66.65,0.08,142.75
12/6/2017 4:00,100.5,20.22,6.55,74.02,0.08,140.5
12/6/2017 5:00,98.25,15.28,6.65,106.8,0.1,125.75
12/6/2017 6:00,97,17.15,7.95,106.33,0.1,124.5
12/6/2017 7:00,103,17.4,10.05,106.33,0.1,134
12/6/2017 8:00,117.25,23.38,17.35,103.4,0.1,148
12/6/2017 9:00,128.75,25.88,24.32,118.08,0.1,170
12/6/2017 10:00,111,19.58,21.22,143.57,0.15,157.25
12/6/2017 11:00,92.5,19.08,10.77,147.5,0.1,132.5
12/6/2017 12:00,81,18.03,117.62,156.8,0.1,117.75
12/6/2017 13:00,75.25,28.92,13.92,153.85,0.1,111.25
12/6/2017 14:00,64.75,26.48,68.82,146.5,0.08,101.25
12/6/2017 15:00,59.5,36.33,75.72,152.4,0.13,98.25
12/6/2017 16:00,62.75,26.7,28.12,172.5,0.25,105.5
12/6/2017 17:00,64.75,28.48,14.45,171.5,0.2,114.25
12/6/2017 18:00,97.25,28.17,11.77,125.95,0.1,154.25
12/6/2017 19:00,136.5,38.22,9.47,87.73,0.1,205
12/6/2017 20:00,116,28.4,8.6,107.3,0.1,185.25
12/6/2017 21:00,113.25,35.7,7.68,92.12,0.1,163.75
12/6/2017 22:00,110.25,35.3,4,99.47,0.08,164
12/6/2017 23:00,103.75,26.15,3.05,105.35,0.18,152
12/7/2017 0:00,118,34.03,3.73,91.17,0.43,161
12/7/2017 1:00,119.25,30.4,5.33,75.93,0.85,162.75
12/7/2017 2:00,120,27.6,8,91.12,0.05,162.25
12/7/2017 3:00,110.75,24.07,8.48,71.55,0.03,146.75
12/7/2017 4:00,113.25,47.43,7.55,17.13,0.08,156.25
12/7/2017 5:00,122.75,41.18,6.23,27.45,0.05,168.75
12/7/2017 6:00,119.5,30.23,5.95,33.8,0,165.5
